tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,idx,winner_id,winner_name,winner_hand,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ioc,loser_age
2018-M020,Brisbane,Hard,32,A,20180101,271,8771,105992,Ryan Harrison,R,USA,26,104919,Leonardo Mayer,R,ARG,31
2018-M020,Brisbane,Hard,32,A,20180101,272,8772,111577,Jared Donaldson,R,USA,21,111442,Jordan Thompson,R,AUS,24
2018-M020,Brisbane,Hard,32,A,20180101,273,8773,104797,Denis Istomin,R,UZB,31,106000,Damir Dzumhur,R,BIH,26
2018-M020,Brisbane,Hard,32,A,20180101,275,8774,200282,Alex De Minaur,R,AUS,19,105449,Steve Johnson,R,USA,28
2018-M020,Brisbane,Hard,32,A,20180101,276,8775,111581,Michael Mmoh,R,USA,20,105643,Federico Delbonis,L,ARG,27
2018-M020,Brisbane,Hard,32,A,20180101,277,8776,104999,Mischa Zverev,L,GER,30,105441,John Patrick Smith,L,AUS,28
2018-M020,Brisbane,Hard,32,A,20180101,278,8777,105238,Alexandr Dolgopolov,R,UKR,29,106043,Diego Schwartzman,R,ARG,25
2018-M020,Brisbane,Hard,32,A,20180101,279,8778,104547,Horacio Zeballos,L,ARG,33,124014,Ernesto Escobedo,R,USA,21
2018-M020,Brisbane,Hard,32,A,20180101,280,8779,105051,Matthew Ebden,R,AUS,30,126207,Frances Tiafoe,R,USA,20
2018-M020,Brisbane,Hard,32,A,20180101,282,8780,111202,Hyeon Chung,R,KOR,22,104180,Gilles Muller,L,LUX,35
2018-M020,Brisbane,Hard,32,A,20180101,283,8781,106378,Kyle Edmund,R,GBR,23,133430,Denis Shapovalov,L,CAN,19
2018-M020,Brisbane,Hard,32,A,20180101,284,8782,105357,John Millman,R,AUS,29,105166,Peter Polansky,R,CAN,30
2018-M020,Brisbane,Hard,32,A,20180101,286,8783,105992,Ryan Harrison,R,USA,26,105870,Yannick Hanfmann,U,GER,26
2018-M020,Brisbane,Hard,32,A,20180101,287,8784,104797,Denis Istomin,R,UZB,31,111577,Jared Donaldson,R,USA,21
2018-M020,Brisbane,Hard,32,A,20180101,288,8785,200282,Alex De Minaur,R,AUS,19,105683,Milos Raonic,R,CAN,27
2018-M020,Brisbane,Hard,32,A,20180101,289,8786,111581,Michael Mmoh,R,USA,20,104999,Mischa Zverev,L,GER,30
2018-M020,Brisbane,Hard,32,A,20180101,290,8787,105238,Alexandr Dolgopolov,R,UKR,29,104547,Horacio Zeballos,L,ARG,33
2018-M020,Brisbane,Hard,32,A,20180101,291,8788,106401,Nick Kyrgios,R,AUS,23,105051,Matthew Ebden,R,AUS,30
2018-M020,Brisbane,Hard,32,A,20180101,292,8789,106378,Kyle Edmund,R,GBR,23,111202,Hyeon Chung,R,KOR,22
2018-M020,Brisbane,Hard,32,A,20180101,293,8790,105777,Grigor Dimitrov,R,BUL,27,105357,John Millman,R,AUS,29
2018-M020,Brisbane,Hard,32,A,20180101,294,8791,105992,Ryan Harrison,R,USA,26,104797,Denis Istomin,R,UZB,31
2018-M020,Brisbane,Hard,32,A,20180101,295,8792,200282,Alex De Minaur,R,AUS,19,111581,Michael Mmoh,R,USA,20
2018-M020,Brisbane,Hard,32,A,20180101,296,8793,106401,Nick Kyrgios,R,AUS,23,105238,Alexandr Dolgopolov,R,UKR,29
2018-M020,Brisbane,Hard,32,A,20180101,297,8794,105777,Grigor Dimitrov,R,BUL,27,106378,Kyle Edmund,R,GBR,23
2018-M020,Brisbane,Hard,32,A,20180101,298,8795,105992,Ryan Harrison,R,USA,26,200282,Alex De Minaur,R,AUS,19
2018-M020,Brisbane,Hard,32,A,20180101,299,8796,106401,Nick Kyrgios,R,AUS,23,105777,Grigor Dimitrov,R,BUL,27
2018-M020,Brisbane,Hard,32,A,20180101,300,8797,106401,Nick Kyrgios,R,AUS,23,105992,Ryan Harrison,R,USA,26
2018-0451,Doha,Hard,32,A,20180101,270,8798,106432,Borna Coric,R,CRO,21,105807,Pablo Carreno Busta,R,ESP,26
2018-0451,Doha,Hard,32,A,20180101,271,8799,105932,Nikoloz Basilashvili,R,RUS,26,105341,Thomas Fabbiano,R,ITA,29
2018-0451,Doha,Hard,32,A,20180101,272,8800,126094,Andrey Rublev,R,RUS,20,105649,Cedrik Marcel Stebe,L,GER,27
2018-0451,Doha,Hard,32,A,20180101,273,8801,104269,Fernando Verdasco,L,ESP,34,104534,Dudi Sela,R,ISR,33
2018-0451,Doha,Hard,32,A,20180101,274,8802,105550,Guido Pella,L,ARG,28,105077,Albert Ramos,L,ESP,30
2018-0451,Doha,Hard,32,A,20180101,275,8803,105882,Stefano Travaglia,U,ITA,26,106325,Jabor Al Mutawa,U,QAT,24
2018-0451,Doha,Hard,32,A,20180101,276,8804,105806,Mirza Basic,R,BIH,26,104890,Andreas Haider Maurer,R,AUT,31
2018-0451,Doha,Hard,32,A,20180101,277,8805,103852,Feliciano Lopez,L,ESP,36,104198,Guillermo Garcia Lopez,R,ESP,35
2018-0451,Doha,Hard,32,A,20180101,278,8806,105376,Peter Gojowczyk,R,GER,28,105936,Filip Krajinovic,R,SRB,26
2018-0451,Doha,Hard,32,A,20180101,279,8807,126610,Matteo Berrettini,R,ITA,22,104678,Viktor Troicki,R,SRB,32
2018-0451,Doha,Hard,32,A,20180101,280,8808,104792,Gael Monfils,R,FRA,31,103893,Paolo Lorenzi,R,ITA,36
2018-0451,Doha,Hard,32,A,20180101,281,8809,105526,Jan Lennard Struff,R,GER,28,104607,Tomas Berdych,R,CZE,32
2018-0451,Doha,Hard,32,A,20180101,282,8810,104755,Richard Gasquet,R,FRA,32,103607,Victor Estrella,R,DOM,37
2018-0451,Doha,Hard,32,A,20180101,283,8811,126774,Stefanos Tsitsipas,R,GRE,19,104252,Florian Mayer,R,GER,34
