idx,winner_id,loser_id,score,matchround,minutes,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,winner_rank,loser_rank
11660,105453,106421,6-4 3-6 6-2,F,124,3,3,44,31,17,3,6,8,6,54,34,20,10,15,9,16
11661,106421,104542,7-6(6) 6-2,SF,82,10,1,33,28,14,0,1,17,2,52,36,7,10,13,16,239
11662,105453,104871,6-2 6-2,SF,66,2,2,33,26,9,2,2,10,3,27,15,6,1,5,9,40
11663,104542,200282,6-4 7-6(2),QF,106,12,2,43,34,15,4,5,1,2,60,38,9,4,6,239,31
11664,106421,105683,6-7(2) 6-3 6-4,QF,129,12,3,68,48,25,8,8,29,5,56,46,19,2,4,16,18
11665,104871,106034,6-4 3-6 7-6(4),QF,127,10,8,58,44,18,4,8,12,6,54,40,18,6,9,40,185
11666,105453,105777,7-5 7-5,QF,100,5,2,47,37,9,0,1,8,5,53,37,13,6,9,9,19
11667,104542,106121,7-6(5) 6-3,R16,100,11,3,37,30,11,4,7,3,7,51,34,11,6,11,239,77
11668,200282,111442,6-4 6-2,R16,80,1,1,38,29,8,0,0,5,0,39,30,3,3,6,31,72
11669,106421,104918,7-5 6-2,R16,81,16,2,34,27,13,0,1,6,1,39,27,7,2,6,16,240
11670,105683,200175,6-3 7-6(2),R16,82,21,3,46,40,10,0,0,3,0,44,28,18,2,3,18,131
11671,104871,106401,6-7(5) 6-2 6-3,R16,99,17,5,58,50,17,2,2,13,6,59,48,10,2,5,40,35
11672,106034,106378,7-6(6) 6-4,R16,93,15,0,48,41,14,3,3,7,1,50,35,14,1,2,185,14
11673,105777,105357,6-3 6-4,R16,88,6,2,35,27,13,2,4,1,1,37,18,10,3,7,19,38
11674,105453,106045,7-5 6-2,R16,79,7,2,32,27,15,0,0,5,3,36,26,8,4,7,9,63
11675,104542,106423,7-6(6) 6-4,R32,102,11,1,41,33,20,2,3,3,0,46,34,10,1,3,239,146
11676,111442,106109,6-3 6-0,R32,77,1,2,29,23,7,0,1,1,3,33,17,12,8,13,72,154
11677,200282,200615,6-2 6-2,R32,60,1,2,28,25,6,3,4,5,5,31,18,4,4,9,31,147
11678,104918,105902,6-3 6-4,R32,88,6,4,39,28,16,4,5,8,2,34,23,9,1,4,240,234
11679,200175,104919,6-3 6-1,R32,61,5,2,25,22,12,1,1,6,2,29,18,7,4,8,131,56
11680,105683,105379,6-0 6-3,R32,47,18,0,29,27,5,0,0,4,1,30,16,2,4,8,18,67
11681,106401,105992,7-6(5) 5-7 7-6(5),R32,128,44,3,80,63,24,1,2,27,3,77,60,24,5,5,35,62
11682,104871,105526,4-6 6-3 6-4,R32,99,15,4,52,40,21,2,3,10,2,41,32,22,4,6,40,57
11683,106034,200005,6-4 7-6(6),R32,90,12,0,43,39,10,0,0,6,4,45,35,14,0,1,185,102
11684,105777,106415,6-3 6-4,R32,79,9,6,43,37,12,6,7,1,1,33,21,7,0,3,19,75
11685,105357,105815,7-6(6) 6-7(6) 6-0,R32,153,8,2,68,49,15,3,5,12,4,63,44,20,13,18,38,61
11686,106045,126203,7-6(5) 6-7(2) 6-4,R32,144,8,4,73,58,26,4,4,22,4,72,57,27,9,10,63,49
11687,105138,104607,6-4 3-6 6-3,F,115,5,0,60,43,16,5,6,3,3,51,39,16,6,8,24,71
11688,105138,104925,3-6 7-6(6) 6-4,SF,155,7,0,66,52,11,2,4,9,3,72,48,27,6,8,24,1
11689,104607,106065,7-6(6) 6-3,SF,89,12,0,41,31,18,2,3,5,4,51,33,17,7,9,71,20
11690,104925,105932,4-6 6-3 6-4,QF,116,7,3,57,41,15,3,6,4,3,54,39,12,3,7,1,21
11691,105138,104527,6-4 6-4,QF,105,2,1,53,39,8,3,3,7,0,51,32,18,12,14,24,66
11692,106065,105583,7-6(2) 6-2,QF,73,4,0,47,36,9,2,2,6,1,46,33,6,5,7,20,48
11693,104607,105732,6-2 6-4,QF,71,6,0,32,29,8,2,2,5,2,44,27,11,3,6,71,55
11694,104925,105916,4-6 6-4 6-1,R16,120,5,1,53,39,13,2,4,6,3,53,33,16,2,6,1,36
11695,105932,126094,6-3 6-4,R16,61,8,8,36,31,8,2,4,6,4,28,19,8,0,4,21,68
11696,104527,111797,6-4 7-6(3),R16,88,5,1,30,28,20,0,0,9,3,47,38,11,5,6,66,43
11697,105138,104198,6-1 6-4,R16,70,2,0,33,25,11,3,4,2,4,32,20,3,3,7,24,105
11698,105583,105575,7-6(4) 0-6 7-5,R16,131,8,2,73,48,12,7,12,4,2,61,45,16,4,7,48,116
11699,106065,105550,W/O,R16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,58
11700,104607,104269,4-6 6-3 7-5,R16,133,3,2,59,44,15,2,5,9,3,75,50,16,10,14,71,28
11701,105732,109739,6-3 6-7(6) 7-6(6),R16,149,9,2,73,57,25,2,2,14,3,73,56,22,5,6,55,74
